song_key,show_key,song_name,song_set,song_track,song_segue,song_notes,song_cover,song_with_guest
0i1hr7kw,vqd4jqa,"Really What?","Set 1",11,NULL,NULL,NULL,NULL
0i5plilv,j4088jz,Arigato,"Set 2",8,NULL,NULL,NULL,NULL
0i6tpcrp,3td3f0m,GLOgli,"Set 2",12,NULL,NULL,NULL,NULL
0ie9nkbl,4bjx9d2,"The Unquestionable Supremacy of Nature","Set 1",7,NULL,NULL,NULL,NULL
0iger5kb,ok9gbky,ROYGBIV,Encore,17,>,NULL,NULL,NULL
0igoiehb,rs34okh,STS9,"Set 1",2,>,NULL,NULL,NULL
0ilqwoj0,bz506q2,Approaching,"Axe the Cables",7,NULL,NULL,NULL,NULL
0iosia5k,vddb759,"Out of this World","Set 2",17,>,NULL,NULL,NULL
0ip9ce5h,1rkfeje,"Frequencies Peace 1","Set 1",11,>,NULL,NULL,NULL
0iu52bpk,vvydeoi,Improv,"Set 1",1,>,NULL,NULL,NULL
0ivkyqtu,a9dw5kb,Arigato,"Set 1",3,NULL,NULL,NULL,NULL
0ivr6d7i,dv565ou,"Move My Peeps","Set 2",11,>,NULL,NULL,NULL
0ixvqvh7,c0ts73q,"The Unquestionable Supremacy of Nature","Set 1",8,NULL,NULL,NULL,NULL
0j1ta2w1,agyn9tl,"World Go Round","Set 1",8,NULL,NULL,NULL,NULL
0j7p6fwy,vjn76pv,"World Go Round","Set 2",14,>,NULL,NULL,NULL
0j8me0ob,kdx6pf0,"Tap In","Set 2",7,>,NULL,NULL,NULL
0jc62dvw,d3em3k3,Equinox,"Set 1",9,NULL,NULL,NULL,NULL
0jdkfsh1,oc40qsl,"Out of this World","Set 1",2,NULL,NULL,NULL,NULL
0jj7cjcz,avbacg8,"Four Year Puma","Set 2",17,NULL,NULL,NULL,NULL
0jmmg2do,h3t0v1z,Kamuy,"Set 1",4,NULL,NULL,NULL,NULL
0jnvg6sx,ncv99f4,"Love Don't Terrorize","Set 1",9,>,NULL,NULL,NULL
0jo2yunt,4u1sc63,Scheme,"Set 2",17,NULL,NULL,NULL,NULL
0jo65n1r,b8oi11r,Surreality,"Set 1",3,>,NULL,NULL,NULL
0jr5pwvl,b8ktlye,"Shock Doctrine","Set 1",5,NULL,NULL,NULL,NULL
0jvhov84,zunb1he,"By the Morning Sun","Set 2",11,NULL,NULL,NULL,NULL
0jyj7mlt,jifa52x,"The New Soma","Set 1",6,NULL,NULL,NULL,NULL
0k1gsc2m,xvo4doe,"Tap In",Encore,12,NULL,NULL,NULL,NULL
0k22iyn3,hfnz6hl,T.W.E.L.V.E.,"Set 1",5,NULL,NULL,NULL,NULL
0k2aqn7f,kyjypkp,Circus,"Set 2",6,NULL,NULL,NULL,NULL
0k5ef24k,zsn22kq,"986 Foot Tall Trees","Set 2",19,NULL,NULL,NULL,NULL
0k8fsdp7,0bw6a44,"You Don't Say","Set 1",1,>,NULL,NULL,NULL
0k8n5g5p,002fis4,Baraka,Encore,12,NULL,NULL,NULL,NULL
0kalhujq,kxgmy5e,"El Juarez","Set 1",9,NULL,NULL,NULL,NULL
0kcvftwb,83w58vj,"World Go Round","Set 2",9,NULL,NULL,NULL,NULL
0kp0ubdw,dwk91xe,"Monkey Music","Set 2",9,NULL,NULL,NULL,NULL
0kpeyem4,q7t5hng,"Better Day",Encore,20,>,NULL,NULL,"Maureen Murphy"
0kr90tx9,6y0gwax,"Wika Chikana","Set 1",12,NULL,NULL,NULL,NULL
0kupvk7m,cg1yo3m,Warrior,Encore,17,NULL,NULL,NULL,NULL
0kvh7ci7,w76yl18,"Be Nice","Set 1",5,NULL,NULL,NULL,NULL
0kx3mjdp,8yazrmg,"Looking Back On Earth","Set 1",5,NULL,NULL,NULL,NULL
0l58zjno,zip94lc,EB,"Set 2",14,NULL,NULL,NULL,NULL
0lbjulb3,xn9byz8,STS9,"Set 2",9,NULL,NULL,NULL,NULL
0li2t8ak,h3t0v1z,Trinocular,Encore,14,>,NULL,NULL,NULL
0lm5urtb,ghx155r,"Frequencies Peace 1",Encore,17,>,NULL,NULL,NULL
0lnu93tr,cdfaiyd,"Mischief of a Sleepwalker","Set 1",9,NULL,NULL,NULL,NULL
0loblbby,fp46uu9,Surreality,"Set 1",4,>,NULL,NULL,NULL
0lpl62me,qbxcfub,"Moon Socket","Set 1",2,NULL,NULL,NULL,NULL
0lq2fqi7,gmfytc8,Totem,"Set 2",10,>,NULL,NULL,NULL
0lx0rb4a,jnstk8k,Gobi,"Set 1",1,NULL,NULL,NULL,NULL
